ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
15,8,Taranaki,119640,119640,0,0,0,0,0,0,143,4
15,3,Counties.Manukau,557790,557707,67,94,0,7,11,0,514,4
15,18,South.Canterbury,60025,60011,8,16,0,0,1,0,52,4
15,17,Canterbury,562870,562853,11,21,0,2,3,0,594,4
15,11,MidCentral,178240,178229,8,13,0,2,3,0,200,4
15,15,Nelson.Marlborough,150280,150269,7,12,0,1,1,0,150,4
15,4,Waikato,417130,417116,14,16,0,1,1,0,403,4
15,0,Northland,178500,178489,9,15,0,1,1,0,167,4
15,6,Bay.of.Plenty,236820,236816,3,5,0,0,0,0,219,4
15,12,Hutt.Valley,149270,149222,36,52,0,9,9,0,158,4
15,9,Hawkes.Bay,165360,165330,26,35,0,4,6,0,176,4
15,19,Southern,328230,328191,30,41,0,5,9,0,331,4
15,10,Whanganui,64565,64562,3,4,0,0,1,0,64,4
15,16,West.Coast,32445,32445,0,0,0,0,0,0,30,4
15,2,Auckland,538840,538772,50,79,0,8,9,0,560,4
15,7,Tairawhiti,48965,48965,0,0,0,0,0,0,29,4
15,5,Lakes,110040,110040,0,0,0,0,0,0,110,4
15,14,Wairarapa,44845,44844,0,1,0,0,0,0,46,4
15,13,Capital.and.Coast,316620,316535,76,106,0,6,10,0,322,4
15,1,Waitemata,622350,622245,94,125,0,9,15,0,604,4
16,17,Canterbury,562870,562852,11,22,0,0,1,0,520,4
16,7,Tairawhiti,48965,48965,0,0,0,0,0,0,34,4
16,16,West.Coast,32445,32445,0,0,0,0,0,0,33,4
16,4,Waikato,417130,417114,14,18,0,0,2,0,451,4
16,9,Hawkes.Bay,165360,165325,30,40,0,4,5,0,180,4
16,3,Counties.Manukau,557790,557693,75,108,0,8,14,0,553,4
16,12,Hutt.Valley,149270,149214,41,60,1,5,8,1,128,4
16,5,Lakes,110040,110040,0,0,0,0,0,0,111,4
16,13,Capital.and.Coast,316620,316520,86,121,0,10,15,0,342,4
16,1,Waitemata,622350,622230,102,140,0,8,15,0,579,4
16,19,Southern,328230,328187,30,45,0,0,4,0,342,4
16,18,South.Canterbury,60025,60009,10,18,0,2,2,0,63,4
16,14,Wairarapa,44845,44844,0,1,0,0,0,0,50,4
16,15,Nelson.Marlborough,150280,150268,8,13,0,1,1,0,152,4
16,0,Northland,178500,178487,11,17,0,2,2,0,194,4
16,11,MidCentral,178240,178229,8,13,0,0,0,0,167,4
16,10,Whanganui,64565,64562,3,4,0,0,0,0,60,4
16,2,Auckland,538840,538759,58,92,0,8,13,0,516,4
16,8,Taranaki,119640,119640,0,0,0,0,0,0,102,4
16,6,Bay.of.Plenty,236820,236816,3,5,0,0,0,0,229,4
17,7,Tairawhiti,48965,48965,0,0,0,0,0,0,48,4
17,3,Counties.Manukau,557790,557681,81,120,0,6,12,0,560,4
17,9,Hawkes.Bay,165360,165316,33,49,1,3,9,1,154,4
17,10,Whanganui,64565,64562,3,4,0,0,0,0,89,4
17,13,Capital.and.Coast,316620,316503,97,138,0,11,17,0,323,4
17,11,MidCentral,178240,178228,9,14,0,1,1,0,173,4
17,17,Canterbury,562870,562850,12,24,0,1,2,0,538,4
17,4,Waikato,417130,417110,17,22,0,3,4,0,460,4
17,5,Lakes,110040,110040,0,0,0,0,0,0,112,4
17,8,Taranaki,119640,119640,0,0,0,0,0,0,123,4
17,12,Hutt.Valley,149270,149202,52,72,1,11,12,0,166,4
17,16,West.Coast,32445,32445,0,0,0,0,0,0,32,4
17,2,Auckland,538840,538749,65,102,0,7,10,0,563,4
17,18,South.Canterbury,60025,60006,12,21,0,2,3,0,76,4
17,19,Southern,328230,328179,35,53,0,5,8,0,319,4
17,14,Wairarapa,44845,44844,0,1,0,0,0,0,37,4
17,0,Northland,178500,178485,13,19,0,2,2,0,198,4
17,1,Waitemata,622350,622216,112,154,0,10,14,0,579,4
17,15,Nelson.Marlborough,150280,150268,8,13,0,0,0,0,152,4
17,6,Bay.of.Plenty,236820,236816,3,5,0,0,0,0,220,4
18,12,Hutt.Valley,149270,149192,59,82,1,7,10,0,161,4
18,10,Whanganui,64565,64560,3,6,0,0,2,0,68,4
18,3,Counties.Manukau,557790,557663,92,138,0,11,18,0,562,4
18,17,Canterbury,562870,562846,16,28,0,4,4,0,576,4
18,5,Lakes,110040,110040,0,0,0,0,0,0,120,4
18,14,Wairarapa,44845,44844,0,1,0,0,0,0,49,4
18,8,Taranaki,119640,119640,0,0,0,0,0,0,112,4
18,19,Southern,328230,328173,38,59,0,3,6,0,318,4
18,16,West.Coast,32445,32445,0,0,0,0,0,0,38,4
18,9,Hawkes.Bay,165360,165312,33,53,1,0,4,0,149,4
18,11,MidCentral,178240,178226,11,16,0,2,2,0,166,4
18,6,Bay.of.Plenty,236820,236816,3,5,0,0,0,0,220,4
18,15,Nelson.Marlborough,150280,150265,11,16,0,3,3,0,147,4
18,7,Tairawhiti,48965,48965,0,0,0,0,0,0,49,4
18,1,Waitemata,622350,622201,125,169,0,13,15,0,620,4
18,18,South.Canterbury,60025,60005,12,22,0,0,1,0,63,4
18,2,Auckland,538840,538736,72,115,0,7,13,0,534,4
18,0,Northland,178500,178483,14,21,0,1,2,0,184,4
18,4,Waikato,417130,417103,23,29,1,6,7,1,437,4
18,13,Capital.and.Coast,316620,316488,106,153,0,9,15,0,318,4
19,11,MidCentral,178240,178225,12,17,0,1,1,0,200,4
19,5,Lakes,110040,110040,0,0,0,0,0,0,91,4
19,13,Capital.and.Coast,316620,316476,113,165,0,7,12,0,294,4
19,1,Waitemata,622350,622187,135,183,0,10,14,0,649,4
19,6,Bay.of.Plenty,236820,236816,3,5,0,0,0,0,267,4
19,12,Hutt.Valley,149270,149185,65,89,1,6,7,0,130,4
19,17,Canterbury,562870,562843,18,31,0,2,3,0,544,4
19,2,Auckland,538840,538733,75,118,0,3,3,0,554,4
19,8,Taranaki,119640,119640,0,0,0,0,0,0,118,4
19,9,Hawkes.Bay,165360,165306,37,59,1,4,6,0,167,4
19,16,West.Coast,32445,32445,0,0,0,0,0,0,26,4
19,0,Northland,178500,178483,14,21,0,0,0,0,181,4
19,14,Wairarapa,44845,44844,0,1,0,0,0,0,46,4
19,4,Waikato,417130,417103,23,29,2,0,0,1,415,4
19,3,Counties.Manukau,557790,557655,94,146,1,2,8,1,585,4
19,15,Nelson.Marlborough,150280,150265,11,16,0,0,0,0,151,4
19,7,Tairawhiti,48965,48965,0,0,0,0,0,0,43,4
19,18,South.Canterbury,60025,60005,12,22,0,0,0,0,63,4
19,10,Whanganui,64565,64560,3,6,0,0,0,0,65,4
19,19,Southern,328230,328167,41,65,0,3,6,0,325,4
20,3,Counties.Manukau,557790,557648,98,153,1,4,7,0,558,4
20,11,MidCentral,178240,178223,13,19,0,1,2,0,181,4
20,7,Tairawhiti,48965,48965,0,0,0,0,0,0,34,4
20,10,Whanganui,64565,64560,3,6,0,0,0,0,67,4
20,4,Waikato,417130,417101,24,31,2,1,2,0,376,4
20,9,Hawkes.Bay,165360,165302,39,63,1,2,4,0,161,4
20,13,Capital.and.Coast,316620,316467,119,174,0,6,9,0,310,4
20,8,Taranaki,119640,119640,0,0,0,0,0,0,116,4
20,5,Lakes,110040,110040,0,0,0,0,0,0,113,4
20,1,Waitemata,622350,622178,141,192,0,6,9,0,670,4
20,2,Auckland,538840,538721,84,130,0,9,12,0,523,4
20,14,Wairarapa,44845,44844,0,1,0,0,0,0,49,4
20,12,Hutt.Valley,149270,149179,69,95,1,4,6,0,169,4
20,18,South.Canterbury,60025,60003,13,24,0,1,2,0,51,4
20,0,Northland,178500,178479,16,25,0,2,4,0,191,4
20,15,Nelson.Marlborough,150280,150264,12,17,0,1,1,0,162,4
20,16,West.Coast,32445,32445,0,0,0,0,0,0,46,4
20,19,Southern,328230,328162,46,70,0,5,5,0,309,4
20,6,Bay.of.Plenty,236820,236816,3,5,0,0,0,0,231,4
20,17,Canterbury,562870,562843,18,31,0,0,0,0,590,4
21,10,Whanganui,64565,64560,3,6,0,0,0,0,67,4
21,6,Bay.of.Plenty,236820,236815,4,6,0,1,1,0,259,4
21,18,South.Canterbury,60025,60002,14,25,0,1,1,0,68,4
21,14,Wairarapa,44845,44844,0,1,0,0,0,0,37,4
21,2,Auckland,538840,538716,87,135,1,3,5,1,585,4
21,19,Southern,328230,328159,49,73,1,3,3,1,317,4
21,5,Lakes,110040,110040,0,0,0,0,0,0,111,4
21,15,Nelson.Marlborough,150280,150264,12,17,0,0,0,0,144,4
21,9,Hawkes.Bay,165360,165296,43,69,1,4,6,0,174,4
21,1,Waitemata,622350,622173,146,197,0,5,5,0,608,4
21,8,Taranaki,119640,119640,0,0,0,0,0,0,96,4
21,7,Tairawhiti,48965,48965,0,0,0,0,0,0,50,4
21,4,Waikato,417130,417099,25,33,2,1,2,0,397,4
21,12,Hutt.Valley,149270,149173,70,101,2,1,6,1,147,4
21,17,Canterbury,562870,562843,18,31,0,0,0,0,515,4
21,0,Northland,178500,178478,16,26,0,0,1,0,160,4
21,13,Capital.and.Coast,316620,316464,121,177,0,2,3,0,305,4
21,11,MidCentral,178240,178222,14,20,0,1,1,0,175,4
21,3,Counties.Manukau,557790,557644,101,157,1,3,4,0,587,4
21,16,West.Coast,32445,32445,0,0,0,0,0,0,30,4
22,11,MidCentral,178240,178222,14,20,0,0,0,0,168,4
22,10,Whanganui,64565,64560,3,6,0,0,0,0,54,4
22,19,Southern,328230,328158,49,74,1,0,1,0,327,4
22,12,Hutt.Valley,149270,149169,73,105,2,3,4,0,180,4
22,17,Canterbury,562870,562843,18,31,0,0,0,0,561,4
22,14,Wairarapa,44845,44844,0,1,0,0,0,0,35,3
22,13,Capital.and.Coast,316620,316460,124,181,0,3,4,0,310,4
22,2,Auckland,538840,538711,91,140,1,4,5,0,520,4
22,3,Counties.Manukau,557790,557639,105,162,1,4,5,0,595,4
22,18,South.Canterbury,60025,60000,15,27,0,1,2,0,57,4
22,8,Taranaki,119640,119640,0,0,0,0,0,0,126,3
22,9,Hawkes.Bay,165360,165294,44,71,1,1,2,0,200,4
22,4,Waikato,417130,417099,25,33,2,0,0,0,397,4
22,7,Tairawhiti,48965,48965,0,0,0,0,0,0,39,3
22,1,Waitemata,622350,622168,148,202,1,2,5,1,656,4
22,15,Nelson.Marlborough,150280,150264,12,17,0,0,0,0,145,4
22,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,230,3
22,5,Lakes,110040,110040,0,0,0,0,0,0,99,3
22,0,Northland,178500,178476,18,28,0,2,2,0,196,4
22,16,West.Coast,32445,32445,0,0,0,0,0,0,27,3
23,9,Hawkes.Bay,165360,165293,45,72,1,1,1,0,136,4
23,14,Wairarapa,44845,44844,0,1,0,0,0,0,51,3
23,7,Tairawhiti,48965,48965,0,0,0,0,0,0,50,3
23,4,Waikato,417130,417098,25,34,3,0,1,1,418,4
23,8,Taranaki,119640,119640,0,0,0,0,0,0,113,3
23,2,Auckland,538840,538709,92,142,1,1,2,0,592,4
23,11,MidCentral,178240,178222,14,20,0,0,0,0,170,4
23,3,Counties.Manukau,557790,557635,109,166,1,4,4,0,593,4
23,0,Northland,178500,178474,19,30,1,1,2,1,179,4
23,5,Lakes,110040,110040,0,0,0,0,0,0,102,3
23,15,Nelson.Marlborough,150280,150264,12,17,0,0,0,0,141,4
23,17,Canterbury,562870,562841,19,33,0,1,2,0,540,4
23,12,Hutt.Valley,149270,149168,74,106,2,1,1,0,174,4
23,16,West.Coast,32445,32445,0,0,0,0,0,0,50,3
23,10,Whanganui,64565,64560,3,6,0,0,0,0,69,4
23,1,Waitemata,622350,622158,155,212,1,7,10,0,589,4
23,18,South.Canterbury,60025,60000,15,27,1,0,0,1,72,4
23,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,237,3
23,19,Southern,328230,328158,49,74,1,0,0,0,316,4
23,13,Capital.and.Coast,316620,316457,126,184,0,2,3,0,308,4
24,8,Taranaki,119640,119640,0,0,0,0,0,0,121,3
24,0,Northland,178500,178474,19,30,1,0,0,0,159,4
24,10,Whanganui,64565,64560,3,6,0,0,0,0,62,4
24,7,Tairawhiti,48965,48965,0,0,0,0,0,0,55,3
24,1,Waitemata,622350,622153,157,217,1,2,5,0,594,4
24,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,241,3
24,18,South.Canterbury,60025,60000,15,27,1,0,0,0,55,4
24,2,Auckland,538840,538706,94,145,1,2,3,0,577,4
24,16,West.Coast,32445,32445,0,0,0,0,0,0,31,3
24,5,Lakes,110040,110040,0,0,0,0,0,0,116,3
24,19,Southern,328230,328158,49,74,1,0,0,0,353,4
24,4,Waikato,417130,417098,25,34,3,0,0,0,389,4
24,17,Canterbury,562870,562841,19,33,0,0,0,0,561,4
24,14,Wairarapa,44845,44844,0,1,0,0,0,0,43,3
24,13,Capital.and.Coast,316620,316455,126,186,0,0,2,0,330,4
24,11,MidCentral,178240,178222,14,20,0,0,0,0,168,4
24,9,Hawkes.Bay,165360,165293,45,72,1,0,0,0,141,4
24,15,Nelson.Marlborough,150280,150264,12,17,0,0,0,0,139,4
24,3,Counties.Manukau,557790,557631,112,170,1,3,4,0,588,4
24,12,Hutt.Valley,149270,149167,75,107,2,1,1,0,143,4
25,12,Hutt.Valley,149270,149163,79,111,2,4,4,0,155,4
25,14,Wairarapa,44845,44844,0,1,0,0,0,0,34,3
25,18,South.Canterbury,60025,59999,16,28,1,1,1,0,55,4
25,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,241,3
25,5,Lakes,110040,110040,0,0,0,0,0,0,127,3
25,19,Southern,328230,328157,49,75,1,0,1,0,305,4
25,9,Hawkes.Bay,165360,165292,46,73,2,1,1,1,153,4
25,17,Canterbury,562870,562841,19,33,0,0,0,0,612,4
25,11,MidCentral,178240,178222,14,20,0,0,0,0,175,4
25,8,Taranaki,119640,119640,0,0,0,0,0,0,128,3
25,16,West.Coast,32445,32445,0,0,0,0,0,0,27,3
25,13,Capital.and.Coast,316620,316452,127,189,0,1,3,0,316,4
25,15,Nelson.Marlborough,150280,150264,12,17,0,0,0,0,152,4
25,1,Waitemata,622350,622151,159,219,1,2,2,0,687,4
25,10,Whanganui,64565,64560,3,6,0,0,0,0,61,4
25,7,Tairawhiti,48965,48965,0,0,0,0,0,0,33,3
25,3,Counties.Manukau,557790,557630,113,171,1,1,1,0,538,4
25,0,Northland,178500,178473,20,31,1,1,1,0,175,4
25,2,Auckland,538840,538704,95,147,2,1,2,1,544,4
25,4,Waikato,417130,417097,26,35,3,1,1,0,458,4
26,19,Southern,328230,328156,50,76,3,1,1,2,331,4
26,0,Northland,178500,178472,21,32,1,1,1,0,172,4
26,18,South.Canterbury,60025,59999,16,28,1,0,0,0,72,4
26,2,Auckland,538840,538701,97,150,3,2,3,1,547,4
26,14,Wairarapa,44845,44844,0,1,1,0,0,1,51,3
26,11,MidCentral,178240,178221,15,21,0,1,1,0,191,4
26,15,Nelson.Marlborough,150280,150263,12,18,0,0,1,0,118,4
26,1,Waitemata,622350,622147,161,223,1,2,4,0,618,4
26,7,Tairawhiti,48965,48965,0,0,0,0,0,0,55,3
26,4,Waikato,417130,417097,26,35,3,0,0,0,442,4
26,9,Hawkes.Bay,165360,165292,46,73,2,0,0,0,170,4
26,8,Taranaki,119640,119640,0,0,0,0,0,0,127,3
26,10,Whanganui,64565,64560,3,6,0,0,0,0,62,4
26,12,Hutt.Valley,149270,149163,79,111,2,0,0,0,141,4
26,5,Lakes,110040,110040,0,0,0,0,0,0,119,3
26,16,West.Coast,32445,32445,0,0,0,0,0,0,33,3
26,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,235,3
26,17,Canterbury,562870,562841,19,33,0,0,0,0,550,4
26,3,Counties.Manukau,557790,557630,113,171,2,0,0,1,562,4
26,13,Capital.and.Coast,316620,316448,130,193,0,3,4,0,342,4
27,11,MidCentral,178240,178221,15,21,0,0,0,0,176,4
27,10,Whanganui,64565,64560,3,6,0,0,0,0,67,4
27,17,Canterbury,562870,562841,19,33,0,0,0,0,540,4
27,13,Capital.and.Coast,316620,316447,131,194,1,1,1,1,311,4
27,0,Northland,178500,178472,21,32,1,0,0,0,176,4
27,7,Tairawhiti,48965,48965,0,0,0,0,0,0,42,3
27,1,Waitemata,622350,622143,162,227,2,1,4,1,609,4
27,18,South.Canterbury,60025,59999,16,28,1,0,0,0,69,4
27,2,Auckland,538840,538695,100,156,3,3,6,0,582,4
27,19,Southern,328230,328156,50,76,3,0,0,0,317,4
27,4,Waikato,417130,417097,26,35,3,0,0,0,438,4
27,5,Lakes,110040,110040,0,0,0,0,0,0,113,3
27,3,Counties.Manukau,557790,557630,113,171,3,0,0,1,571,4
27,9,Hawkes.Bay,165360,165292,46,73,2,0,0,0,188,4
27,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,221,3
27,14,Wairarapa,44845,44844,0,1,1,0,0,0,40,3
27,16,West.Coast,32445,32445,0,0,0,0,0,0,32,3
27,8,Taranaki,119640,119640,0,0,0,0,0,0,131,3
27,15,Nelson.Marlborough,150280,150262,13,19,0,1,1,0,159,4
27,12,Hutt.Valley,149270,149162,80,112,2,1,1,0,155,4
28,0,Northland,178500,178472,21,32,1,0,0,0,172,4
28,14,Wairarapa,44845,44844,0,1,1,0,0,0,55,3
28,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,247,3
28,3,Counties.Manukau,557790,557629,114,172,3,1,1,0,556,4
28,15,Nelson.Marlborough,150280,150262,13,19,0,0,0,0,158,4
28,19,Southern,328230,328156,50,76,3,0,0,0,324,4
28,12,Hutt.Valley,149270,149161,81,113,2,1,1,0,142,4
28,2,Auckland,538840,538694,101,157,3,1,1,0,594,4
28,13,Capital.and.Coast,316620,316446,132,195,3,1,1,2,317,4
28,17,Canterbury,562870,562841,19,33,0,0,0,0,529,4
28,11,MidCentral,178240,178220,15,22,0,0,1,0,199,4
28,1,Waitemata,622350,622141,164,229,4,2,2,2,587,4
28,5,Lakes,110040,110040,0,0,0,0,0,0,119,3
28,16,West.Coast,32445,32445,0,0,0,0,0,0,39,3
28,8,Taranaki,119640,119640,0,0,0,0,0,0,124,3
28,10,Whanganui,64565,64560,3,6,0,0,0,0,69,4
28,18,South.Canterbury,60025,59999,16,28,1,0,0,0,55,4
28,9,Hawkes.Bay,165360,165291,47,74,2,1,1,0,167,4
28,4,Waikato,417130,417097,26,35,3,0,0,0,414,4
28,7,Tairawhiti,48965,48965,0,0,0,0,0,0,45,3
29,7,Tairawhiti,48965,48965,0,0,0,0,0,0,51,2
29,9,Hawkes.Bay,165360,165291,47,74,2,0,0,0,169,4
29,6,Bay.of.Plenty,236820,236815,4,6,0,0,0,0,221,4
29,10,Whanganui,64565,64560,3,6,0,0,0,0,65,4
29,12,Hutt.Valley,149270,149161,81,113,2,0,0,0,164,4
29,8,Taranaki,119640,119640,0,0,0,0,0,0,100,2
29,0,Northland,178500,178472,21,32,1,0,0,0,196,4
29,19,Southern,328230,328156,50,76,3,0,0,0,315,4
29,17,Canterbury,562870,562841,19,33,1,0,0,1,595,4
29,11,MidCentral,178240,178220,15,22,0,0,0,0,182,4
29,15,Nelson.Marlborough,150280,150262,13,19,0,0,0,0,150,4
29,2,Auckland,538840,538693,102,158,4,1,1,1,544,4
29,4,Waikato,417130,417097,26,35,3,0,0,0,411,4
29,14,Wairarapa,44845,44844,0,1,1,0,0,0,45,2
29,16,West.Coast,32445,32445,0,0,0,0,0,0,25,2
29,1,Waitemata,622350,622140,165,230,4,1,1,0,607,4
29,18,South.Canterbury,60025,59999,16,28,1,0,0,0,62,4
29,3,Counties.Manukau,557790,557629,114,172,3,0,0,0,562,4
29,13,Capital.and.Coast,316620,316446,132,195,4,0,0,1,320,4
29,5,Lakes,110040,110040,0,0,0,0,0,0,109,2
30,16,West.Coast,32445,32445,0,0,0,0,0,0,24,2
30,14,Wairarapa,44845,44844,0,1,1,0,0,0,49,2
30,6,Bay.of.Plenty,236820,236815,4,6,2,0,0,2,236,4
30,3,Counties.Manukau,557790,557626,115,175,5,1,3,2,537,4
30,11,MidCentral,178240,178219,16,23,0,1,1,0,155,4
30,0,Northland,178500,178471,21,33,1,0,1,0,182,4
30,4,Waikato,417130,417096,26,36,3,0,1,0,404,4
30,13,Capital.and.Coast,316620,316445,133,196,4,1,1,0,303,4
30,12,Hutt.Valley,149270,149161,81,113,2,0,0,0,161,4
30,17,Canterbury,562870,562840,20,34,2,1,1,1,584,4
30,9,Hawkes.Bay,165360,165291,47,74,2,0,0,0,151,4
30,5,Lakes,110040,110040,0,0,0,0,0,0,111,2
30,1,Waitemata,622350,622140,165,230,4,0,0,0,632,4
30,8,Taranaki,119640,119640,0,0,0,0,0,0,114,2
30,10,Whanganui,64565,64560,3,6,0,0,0,0,72,4
30,15,Nelson.Marlborough,150280,150262,13,19,0,0,0,0,144,4
30,18,South.Canterbury,60025,59999,16,28,1,0,0,0,62,4
30,19,Southern,328230,328156,50,76,3,0,0,0,344,4
30,2,Auckland,538840,538692,102,159,4,0,1,0,542,4
30,7,Tairawhiti,48965,48965,0,0,0,0,0,0,56,2
31,2,Auckland,538840,538692,102,159,5,0,0,1,565,4
31,14,Wairarapa,44845,44844,0,1,1,0,0,0,41,2
31,8,Taranaki,119640,119640,0,0,0,0,0,0,127,2
31,11,MidCentral,178240,178219,16,23,0,0,0,0,207,4
31,19,Southern,328230,328156,50,76,3,0,0,0,339,4
31,10,Whanganui,64565,64560,3,6,0,0,0,0,62,4
31,17,Canterbury,562870,562840,20,34,3,0,0,1,553,4
31,13,Capital.and.Coast,316620,316443,134,198,5,1,2,1,327,4
31,1,Waitemata,622350,622140,165,230,6,0,0,2,588,4
31,15,Nelson.Marlborough,150280,150262,13,19,0,0,0,0,155,4
31,0,Northland,178500,178471,21,33,1,0,0,0,195,4
31,5,Lakes,110040,110040,0,0,0,0,0,0,109,2
31,9,Hawkes.Bay,165360,165291,47,74,2,0,0,0,159,4
31,3,Counties.Manukau,557790,557625,115,176,7,0,1,2,599,4
31,16,West.Coast,32445,32445,0,0,0,0,0,0,37,2
31,6,Bay.of.Plenty,236820,236815,4,6,2,0,0,0,207,4
31,7,Tairawhiti,48965,48965,0,0,0,0,0,0,57,2
31,4,Waikato,417130,417096,26,36,3,0,0,0,435,4
31,12,Hutt.Valley,149270,149160,81,114,3,0,1,1,163,4
31,18,South.Canterbury,60025,59999,16,28,1,0,0,0,54,4
32,14,Wairarapa,44845,44844,0,1,1,0,0,0,44,2
32,17,Canterbury,562870,562840,20,34,3,0,0,0,610,4
32,4,Waikato,417130,417095,27,37,3,1,1,0,428,4
32,18,South.Canterbury,60025,59999,16,28,1,0,0,0,65,4
32,2,Auckland,538840,538692,102,159,6,0,0,1,551,4
32,6,Bay.of.Plenty,236820,236815,4,6,2,0,0,0,233,4
32,8,Taranaki,119640,119640,0,0,0,0,0,0,140,2
32,13,Capital.and.Coast,316620,316442,134,199,6,0,1,1,322,4
32,3,Counties.Manukau,557790,557624,116,177,9,1,1,2,560,4
32,7,Tairawhiti,48965,48965,0,0,0,0,0,0,53,2
32,1,Waitemata,622350,622137,168,233,9,3,3,3,612,4
32,15,Nelson.Marlborough,150280,150262,13,19,1,0,0,1,155,4
32,9,Hawkes.Bay,165360,165291,47,74,2,0,0,0,183,4
32,12,Hutt.Valley,149270,149160,81,114,3,0,0,0,155,4
32,11,MidCentral,178240,178219,16,23,0,0,0,0,189,4
32,5,Lakes,110040,110040,0,0,0,0,0,0,99,2
32,10,Whanganui,64565,64560,3,6,0,0,0,0,62,4
32,0,Northland,178500,178470,21,34,1,0,1,0,170,4
32,19,Southern,328230,328156,50,76,3,0,0,0,302,4
32,16,West.Coast,32445,32445,0,0,0,0,0,0,42,2
33,8,Taranaki,119640,119640,0,0,0,0,0,0,118,2
33,2,Auckland,538840,538691,103,160,8,1,1,2,586,4
33,12,Hutt.Valley,149270,149160,81,114,3,0,0,0,135,4
33,14,Wairarapa,44845,44844,0,1,1,0,0,0,41,2
33,6,Bay.of.Plenty,236820,236815,4,6,2,0,0,0,215,4
33,5,Lakes,110040,110040,0,0,0,0,0,0,107,2
33,3,Counties.Manukau,557790,557624,116,177,10,0,0,1,570,4
33,17,Canterbury,562870,562840,20,34,3,0,0,0,530,4
33,4,Waikato,417130,417095,27,37,4,0,0,1,407,4
33,13,Capital.and.Coast,316620,316442,134,199,6,0,0,0,321,4
33,10,Whanganui,64565,64560,3,6,0,0,0,0,69,4
33,11,MidCentral,178240,178219,16,23,0,0,0,0,185,4
33,1,Waitemata,622350,622137,168,233,11,0,0,2,591,4
33,7,Tairawhiti,48965,48965,0,0,0,0,0,0,44,2
33,9,Hawkes.Bay,165360,165290,48,75,3,1,1,1,168,4
33,18,South.Canterbury,60025,59999,16,28,1,0,0,0,76,4
33,0,Northland,178500,178470,21,34,1,0,0,0,151,4
33,19,Southern,328230,328156,50,76,5,0,0,2,356,4
33,15,Nelson.Marlborough,150280,150261,14,20,1,1,1,0,149,4
33,16,West.Coast,32445,32445,0,0,0,0,0,0,39,2
34,6,Bay.of.Plenty,236820,236815,4,6,2,0,0,0,245,4
34,15,Nelson.Marlborough,150280,150261,14,20,1,0,0,0,136,4
34,17,Canterbury,562870,562840,20,34,3,0,0,0,523,4
34,9,Hawkes.Bay,165360,165290,48,75,3,0,0,0,170,4
34,11,MidCentral,178240,178218,17,24,0,1,1,0,171,4
34,16,West.Coast,32445,32445,0,0,0,0,0,0,34,2
34,13,Capital.and.Coast,316620,316442,134,199,12,0,0,6,335,4
34,12,Hutt.Valley,149270,149160,81,114,5,0,0,2,180,4
34,14,Wairarapa,44845,44844,0,1,1,0,0,0,62,2
34,2,Auckland,538840,538690,103,161,8,0,1,0,556,4
34,4,Waikato,417130,417095,27,37,4,0,0,0,441,4
34,5,Lakes,110040,110040,0,0,0,0,0,0,119,2
34,10,Whanganui,64565,64560,3,6,0,0,0,0,72,4
34,19,Southern,328230,328156,50,76,5,0,0,0,314,4
34,8,Taranaki,119640,119640,0,0,0,0,0,0,131,2
34,0,Northland,178500,178470,21,34,1,0,0,0,186,4
34,1,Waitemata,622350,622137,168,233,12,0,0,1,589,4
34,18,South.Canterbury,60025,59999,16,28,1,0,0,0,67,4
34,7,Tairawhiti,48965,48965,0,0,0,0,0,0,44,2
34,3,Counties.Manukau,557790,557623,117,178,11,1,1,1,591,4
35,14,Wairarapa,44845,44844,0,1,1,0,0,0,39,2
35,16,West.Coast,32445,32445,0,0,0,0,0,0,38,2
35,1,Waitemata,622350,622136,169,234,17,1,1,5,641,4
35,11,MidCentral,178240,178218,17,24,0,0,0,0,158,4
35,4,Waikato,417130,417095,27,37,4,0,0,0,418,4
35,15,Nelson.Marlborough,150280,150261,14,20,1,0,0,0,150,4
35,5,Lakes,110040,110040,0,0,0,0,0,0,108,2
35,0,Northland,178500,178469,22,35,2,1,1,1,188,4
35,19,Southern,328230,328156,50,76,7,0,0,2,362,4
35,10,Whanganui,64565,64560,3,6,0,0,0,0,59,4
35,8,Taranaki,119640,119640,0,0,0,0,0,0,111,2
35,12,Hutt.Valley,149270,149160,81,114,6,0,0,1,166,4
35,9,Hawkes.Bay,165360,165290,48,75,4,0,0,1,157,4
35,7,Tairawhiti,48965,48965,0,0,0,0,0,0,53,2
35,3,Counties.Manukau,557790,557621,119,180,12,2,2,1,570,4
35,6,Bay.of.Plenty,236820,236815,4,6,2,0,0,0,243,4
35,13,Capital.and.Coast,316620,316442,134,199,14,0,0,2,275,4
35,2,Auckland,538840,538690,103,161,9,0,0,1,545,4
35,18,South.Canterbury,60025,59999,16,28,2,0,0,1,75,4
35,17,Canterbury,562870,562840,20,34,4,0,0,1,549,4
