ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
16,11,MidCentral,178240,178236,2,5,0,0,2,0,184,4
16,3,Counties.Manukau,557790,557745,35,51,0,3,4,0,551,4
16,8,Taranaki,119640,119637,2,4,0,0,0,0,117,4
16,12,Hutt.Valley,149270,149197,49,86,0,6,11,0,158,4
16,14,Wairarapa,44845,44841,1,4,0,0,0,0,56,4
16,19,Southern,328230,328170,36,64,1,4,8,0,341,4
16,16,West.Coast,32445,32443,0,2,0,0,1,0,33,4
16,1,Waitemata,622350,622303,36,58,0,3,6,0,634,4
16,13,Capital.and.Coast,316620,316514,97,129,0,10,14,0,307,4
16,9,Hawkes.Bay,165360,165347,12,14,0,2,2,0,175,4
16,0,Northland,178500,178482,17,20,1,0,0,0,168,4
16,5,Lakes,110040,110018,24,27,0,1,1,0,115,4
16,18,South.Canterbury,60025,60011,8,14,0,2,3,0,52,4
16,15,Nelson.Marlborough,150280,150250,22,34,0,3,4,0,143,4
16,6,Bay.of.Plenty,236820,236809,9,13,0,1,1,0,266,4
16,17,Canterbury,562870,562803,50,77,1,7,12,0,557,4
16,4,Waikato,417130,417107,13,26,0,1,2,0,405,4
16,10,Whanganui,64565,64565,0,0,0,0,0,0,53,4
16,7,Tairawhiti,48965,48940,20,28,0,4,6,0,35,4
16,2,Auckland,538840,538778,49,73,0,2,6,0,543,4
17,13,Capital.and.Coast,316620,316494,111,149,0,14,20,0,308,4
17,16,West.Coast,32445,32443,0,2,0,0,0,0,27,4
17,11,MidCentral,178240,178236,2,5,0,0,0,0,186,4
17,7,Tairawhiti,48965,48935,24,33,0,4,5,0,49,4
17,14,Wairarapa,44845,44841,1,4,0,0,0,0,51,4
17,10,Whanganui,64565,64565,0,0,0,0,0,0,78,4
17,12,Hutt.Valley,149270,149190,54,93,0,5,7,0,141,4
17,4,Waikato,417130,417103,16,30,0,3,4,0,420,4
17,18,South.Canterbury,60025,60005,12,20,0,4,6,0,72,4
17,19,Southern,328230,328162,40,72,1,4,8,0,338,4
17,0,Northland,178500,178480,17,22,1,0,2,0,166,4
17,2,Auckland,538840,538769,53,82,0,4,9,0,531,4
17,3,Counties.Manukau,557790,557736,42,60,0,7,9,0,545,4
17,1,Waitemata,622350,622295,43,66,0,7,8,0,632,4
17,6,Bay.of.Plenty,236820,236809,9,13,0,0,0,0,219,4
17,9,Hawkes.Bay,165360,165346,12,15,0,0,1,0,149,4
17,8,Taranaki,119640,119636,2,5,0,0,1,0,115,4
